County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
".Chesterfield County, Virginia","317,198","320,307","323,880","327,612","332,093","334,915","338,479","343,276","348,281","352,802","365,350","371,022","378,488","384,693","389,793"
".Clarke County, Virginia","14,012","14,190","14,245","14,253","14,315","14,239","14,294","14,454","14,511","14,619","14,817","14,947","15,312","15,405","15,598"
".Craig County, Virginia","5,198","5,169","5,138","5,138","5,176","5,136","5,120","5,062","5,102","5,131","4,880","4,891","4,859","4,827","4,829"
".Culpeper County, Virginia","46,838","47,345","47,844","48,606","49,237","49,551","50,319","51,235","51,795","52,605","52,766","53,779","54,250","55,065","56,125"
".Cumberland County, Virginia","10,028","9,985","9,841","9,848","9,839","9,756","9,745","9,828","9,857","9,932","9,679","9,719","9,755","9,875","10,062"
".Dickenson County, Virginia","15,847","15,779","15,707","15,526","15,344","15,201","15,014","14,722","14,526","14,318","14,077","13,867","13,714","13,594","13,411"
".Dinwiddie County, Virginia","28,063","28,119","28,223","28,084","28,094","28,148","28,468","28,630","28,633","28,544","27,889","28,000","28,112","28,377","28,576"
".Essex County, Virginia","11,146","11,169","11,135","11,161","11,071","11,096","11,077","10,969","10,896","10,953","10,597","10,572","10,644","10,618","10,683"
".Fairfax County, Virginia","1,086,155","1,103,439","1,120,395","1,131,784","1,136,271","1,140,401","1,144,188","1,148,728","1,148,463","1,147,532","1,148,680","1,142,381","1,140,521","1,146,677","1,160,925"
".Fauquier County, Virginia","65,440","66,032","66,561","67,139","68,116","68,423","68,805","69,547","70,642","71,222","73,010","74,068","74,686","75,256","75,865"
".Floyd County, Virginia","15,365","15,400","15,431","15,482","15,526","15,548","15,677","15,758","15,790","15,749","15,473","15,514","15,625","15,693","15,658"
".Fluvanna County, Virginia","25,791","25,956","25,883","25,825","25,969","26,133","26,187","26,480","26,898","27,270","27,294","27,804","28,134","28,480","28,746"
".Franklin County, Virginia","56,176","56,337","56,290","56,269","56,258","56,227","56,158","56,315","56,191","56,042","54,475","55,020","55,047","55,471","55,637"
".Frederick County, Virginia","78,550","79,512","80,229","81,474","82,714","83,493","84,638","86,456","88,173","89,313","91,907","94,009","94,839","96,178","98,109"
".Giles County, Virginia","17,316","17,151","17,022","16,988","16,849","16,762","16,827","16,754","16,799","16,720","16,786","16,574","16,430","16,461","16,533"
